订单号,日期,用户ID,渠道,类目,SKU,数量,单价,实付金额,是否退款
SO202502792,2026-06-18,11213,社群,男装,男装-013,1,319,276.69,否
SO202502412,2026-06-18,10336,推荐,美妆,美妆-001,2,129,221.58,否
SO202504745,2026-06-18,11931,社群,男装,男装-001,1,329,304.6,否
SO202502447,2026-06-18,11853,社群,女装,女装-033,1,289,274.49,否
SO202502634,2026-06-18,11406,直播,家居,家居-007,3,199,584.84,否
SO202502328,2026-06-18,10804,搜索,美妆,美妆-014,3,239,656.2,否
SO202502172,2026-06-18,10586,推荐,男装,男装-016,1,259,243.98,否
SO202500757,2026-06-18,11910,搜索,女装,女装-019,1,219,205.12,否
SO202503721,2026-06-18,11567,搜索,数码,数码-007,2,1359,2680.02,否
SO202503421,2026-06-18,11191,推荐,美妆,美妆-007,3,159,453.61,否
SO202501695,2026-06-18,11835,搜索,美妆,美妆-011,1,129,122.51,否
SO202502246,2026-06-18,10260,直播,美妆,美妆-015,2,199,347.86,否
SO202501311,2026-06-18,11683,直播,男装,男装-008,3,299,801.24,否
SO202503423,2026-06-18,10197,搜索,女装,女装-031,2,189,329.33,否
SO202500855,2026-06-18,10474,社群,女装,女装-033,1,289,283.82,否
SO202501245,2026-06-18,11217,推荐,女装,女装-001,1,169,155.84,否
SO202501265,2026-06-18,10820,搜索,女装,女装-029,2,129,224.36,否
SO202502213,2026-06-19,10211,社群,数码,数码-006,1,1899,1761.7,否
SO202501198,2026-06-19,10871,直播,男装,男装-024,2,109,208.84,否
SO202500606,2026-06-19,11811,搜索,家居,家居-001,2,39,66.8,否
SO202503332,2026-06-19,10171,搜索,美妆,美妆-006,1,319,279.99,否
SO202500913,2026-06-19,10636,直播,美妆,美妆-019,1,199,172.15,否
SO202503088,2026-06-19,11567,搜索,美妆,美妆-017,1,359,308.24,否
SO202504438,2026-06-19,10766,搜索,女装,女装-021,1,269,256.12,否
SO202502518,2026-06-19,11891,直播,美妆,美妆-011,2,129,245.69,否
SO202501335,2026-06-19,10590,直播,男装,男装-014,1,149,139.35,否
SO202500150,2026-06-19,11840,社群,男装,男装-020,1,299,264.26,否
SO202504188,2026-06-19,11469,社群,男装,男装-006,2,199,351.71,否
SO202504313,2026-06-20,10816,搜索,男装,男装-020,1,299,269.84,否
SO202504877,2026-06-20,11408,搜索,美妆,美妆-007,3,159,473.28,否
SO202502963,2026-06-20,10400,直播,男装,男装-014,1,149,129.92,否
SO202502605,2026-06-20,10867,社群,数码,数码-002,2,859,1616.73,否
SO202502575,2026-06-20,10402,社群,美妆,美妆-018,1,489,476.61,是
SO202500263,2026-06-20,10069,推荐,美妆,美妆-011,2,129,253.92,否
SO202504907,2026-06-20,10759,社群,美妆,美妆-001,3,129,343.2,否
SO202502364,2026-06-20,10890,搜索,男装,男装-024,1,109,102.39,否
SO202501790,2026-06-20,11025,推荐,美妆,美妆-015,3,199,535.48,是
SO202503435,2026-06-20,11793,社群,男装,男装-020,1,299,295.03,否
SO202503079,2026-06-20,10621,推荐,美妆,美妆-018,3,489,1258.7,否
SO202502895,2026-06-20,10976,推荐,数码,数码-007,1,1359,1184.32,否
SO202501369,2026-06-20,11903,搜索,家居,家居-014,2,59,107.46,否
SO202503477,2026-06-20,11356,搜索,女装,女装-011,3,159,450.16,否
SO202501626,2026-06-20,11946,搜索,女装,女装-025,2,159,282.43,否
SO202501481,2026-06-20,11320,推荐,美妆,美妆-014,2,239,476.65,否
SO202502105,2026-06-20,11657,直播,男装,男装-014,3,149,434.7,否
SO202503096,2026-06-21,11102,搜索,女装,女装-013,3,249,686.79,否
SO202500758,2026-06-21,10868,推荐,家居,家居-004,1,59,52.5,否
SO202501075,2026-06-21,10542,社群,美妆,美妆-001,1,129,119.34,否
SO202504350,2026-06-21,11356,社群,美妆,美妆-007,2,159,274.23,否
SO202503091,2026-06-21,11823,社群,美妆,美妆-016,1,279,242.84,否
SO202502936,2026-06-21,10907,搜索,女装,女装-032,3,309,821.4,否
SO202504848,2026-06-21,10677,推荐,女装,女装-007,1,129,126.23,否
SO202501815,2026-06-21,11533,推荐,男装,男装-006,1,199,175.17,否
SO202503460,2026-06-21,11432,搜索,家居,家居-015,2,179,356.55,否
SO202500669,2026-06-21,11363,直播,美妆,美妆-018,2,489,919.89,否
SO202502841,2026-06-21,11662,推荐,女装,女装-035,2,289,491.8,否
SO202504466,2026-06-21,10071,直播,女装,女装-032,1,309,267.35,否
SO202501856,2026-06-21,10889,搜索,美妆,美妆-001,2,129,224.13,否
SO202503689,2026-06-21,11099,社群,女装,女装-014,2,259,494.07,否
SO202501801,2026-06-21,11388,搜索,女装,女装-001,1,169,166.24,否
SO202502826,2026-06-21,11680,直播,美妆,美妆-017,3,359,1052.01,否
SO202504445,2026-06-21,10598,社群,美妆,美妆-003,3,119,336.54,否
SO202501606,2026-06-22,11777,社群,家居,家居-014,1,59,56.19,否
SO202504858,2026-06-22,11515,直播,家居,家居-012,1,169,168.38,否
SO202500853,2026-06-22,11150,直播,美妆,美妆-017,1,359,332.55,否
SO202504676,2026-06-22,11144,搜索,女装,女装-005,1,269,250.03,否
SO202502138,2026-06-22,10869,直播,男装,男装-012,1,139,129.43,是
SO202500424,2026-06-22,10285,推荐,家居,家居-001,2,39,76.54,否
SO202501361,2026-06-22,10434,推荐,女装,女装-032,1,309,266.26,否
SO202502629,2026-06-22,11505,推荐,男装,男装-025,1,169,166.13,否
SO202502351,2026-06-22,11641,社群,美妆,美妆-015,3,199,580.69,否
SO202502320,2026-06-22,10808,搜索,美妆,美妆-003,2,119,214.06,否
SO202502188,2026-06-22,11783,社群,美妆,美妆-014,1,239,233.67,否
SO202502010,2026-06-22,11158,搜索,家居,家居-014,1,59,57.81,否
SO202502682,2026-06-22,11152,搜索,男装,男装-020,1,299,263.24,否
SO202501460,2026-06-22,10140,推荐,女装,女装-011,1,159,154.97,否
SO202501422,2026-06-22,11214,直播,数码,数码-002,2,859,1614.42,否
SO202504415,2026-06-23,11966,推荐,男装,男装-006,2,199,342.56,否
SO202503627,2026-06-23,10082,搜索,数码,数码-010,2,2029,3959.61,否
SO202502508,2026-06-23,10370,社群,美妆,美妆-016,1,279,246.07,否
SO202503317,2026-06-23,11454,直播,男装,男装-012,3,139,407.6,是
SO202502486,2026-06-23,10035,直播,美妆,美妆-003,1,119,117.67,是
SO202500879,2026-06-23,10808,直播,美妆,美妆-007,1,159,143.1,否
SO202503302,2026-06-23,11003,直播,女装,女装-032,1,309,290.64,否
SO202503304,2026-06-23,11607,直播,女装,女装-027,2,149,257.52,否
SO202501608,2026-06-23,10358,直播,美妆,美妆-011,1,129,127.71,否
SO202502140,2026-06-23,11305,搜索,女装,女装-027,2,149,275.26,否
SO202502121,2026-06-23,11199,搜索,美妆,美妆-018,2,489,916.82,否
SO202503060,2026-06-23,11192,搜索,家居,家居-011,1,119,115.89,否
SO202502673,2026-06-23,11927,推荐,数码,数码-008,2,1259,2449.89,否
SO202502749,2026-06-24,10064,直播,男装,男装-006,1,199,169.73,否
SO202504306,2026-06-24,11361,直播,男装,男装-015,1,149,128.23,否
SO202504392,2026-06-24,11980,推荐,数码,数码-010,1,2029,1781.68,否
SO202502479,2026-06-24,10274,社群,美妆,美妆-007,2,159,294.63,否
SO202504023,2026-06-24,11144,搜索,女装,女装-013,1,249,213.99,否
SO202502628,2026-06-24,10012,搜索,女装,女装-025,1,159,156.77,否
SO202503195,2026-06-24,11223,直播,女装,女装-014,2,259,470.85,否
SO202500788,2026-06-24,10553,推荐,家居,家居-014,2,59,105.44,否
SO202501890,2026-06-24,11933,直播,女装,女装-003,3,189,558.2,否
SO202500136,2026-06-24,11705,搜索,男装,男装-006,2,199,358.87,否
SO202501653,2026-06-24,10796,直播,美妆,美妆-007,2,159,290.98,否
SO202500572,2026-06-24,11797,社群,男装,男装-007,1,129,118.35,否
SO202502403,2026-06-24,11529,直播,男装,男装-006,3,199,595.26,否
SO202502840,2026-06-24,10476,直播,家居,家居-007,1,199,197.68,否
SO202503191,2026-06-24,10886,搜索,美妆,美妆-003,2,119,235.61,否
SO202502534,2026-06-24,10859,搜索,女装,女装-005,1,269,248.97,否
SO202504219,2026-06-24,10248,直播,男装,男装-006,1,199,183.8,否
SO202503379,2026-06-25,10217,直播,女装,女装-001,1,169,168.12,否
SO202503068,2026-06-25,10162,社群,美妆,美妆-018,2,489,959.13,否
SO202503012,2026-06-25,11688,推荐,女装,女装-032,1,309,278.19,否
SO202500754,2026-06-25,10765,直播,女装,女装-014,2,259,464.78,否
SO202500064,2026-06-25,11783,搜索,女装,女装-032,1,309,292.55,否
SO202500342,2026-06-25,10084,直播,男装,男装-020,1,299,272.22,否
SO202504726,2026-06-25,11317,社群,女装,女装-014,1,259,241.45,是
SO202501767,2026-06-25,11982,推荐,美妆,美妆-001,3,129,358.02,否
SO202503990,2026-06-25,10669,直播,女装,女装-014,1,259,248.61,否
SO202500344,2026-06-25,11373,搜索,美妆,美妆-017,3,359,951.41,否
SO202501502,2026-06-25,11500,搜索,男装,男装-022,2,229,411.3,否
SO202501256,2026-06-25,11737,社群,美妆,美妆-018,3,489,1440.17,否
SO202500040,2026-06-25,10652,直播,女装,女装-022,2,269,483.7,否
SO202500719,2026-06-26,11540,直播,男装,男装-004,1,299,286.61,否
SO202503638,2026-06-26,10601,搜索,女装,女装-001,2,169,288.87,否
SO202500489,2026-06-26,10491,搜索,男装,男装-006,1,199,177.89,否
SO202502521,2026-06-26,11359,社群,男装,男装-005,1,269,257.66,否
SO202501559,2026-06-26,11670,直播,数码,数码-007,2,1359,2321.3,否
SO202500820,2026-06-26,11678,推荐,女装,女装-001,3,169,450.41,否
SO202500051,2026-06-26,11529,推荐,美妆,美妆-015,1,199,198.46,否
SO202500481,2026-06-26,11347,搜索,男装,男装-025,1,169,156.76,否
SO202504541,2026-06-26,11213,直播,家居,家居-007,1,199,188.17,否
SO202504875,2026-06-26,11130,推荐,女装,女装-003,2,189,336.23,否
SO202503006,2026-06-26,10816,直播,美妆,美妆-007,1,159,135.41,否
SO202504548,2026-06-26,10189,搜索,数码,数码-010,3,2029,5443.22,否
SO202503765,2026-06-27,10225,社群,女装,女装-033,3,289,776.68,否
SO202501280,2026-06-27,10789,搜索,男装,男装-014,1,149,132.46,否
SO202502110,2026-06-27,11024,直播,女装,女装-032,3,309,872.76,否
SO202500647,2026-06-27,10703,直播,男装,男装-008,1,299,254.18,否
SO202504943,2026-06-27,10555,搜索,女装,女装-021,2,269,476.53,否
SO202501162,2026-06-27,11720,直播,女装,女装-003,1,189,180.32,否
SO202503380,2026-06-27,11798,搜索,数码,数码-002,1,859,827.17,否
SO202504885,2026-06-27,10766,搜索,美妆,美妆-016,2,279,506.12,否
SO202503441,2026-06-27,10796,直播,男装,男装-020,3,299,823.94,否
SO202503665,2026-06-27,11842,直播,家居,家居-004,2,59,111.83,是
SO202501427,2026-06-27,11732,搜索,女装,女装-031,2,189,363.76,是
SO202501990,2026-06-27,11223,推荐,美妆,美妆-017,1,359,324.42,否
SO202503083,2026-06-27,11726,搜索,美妆,美妆-015,2,199,350.35,否
SO202502725,2026-06-28,11178,搜索,美妆,美妆-015,2,199,363.92,否
SO202502088,2026-06-28,11902,直播,男装,男装-014,1,149,136.42,否
SO202504553,2026-06-28,10627,推荐,女装,女装-031,3,189,492.77,否
SO202500990,2026-06-28,10037,推荐,男装,男装-018,1,159,156.69,否
SO202502818,2026-06-28,11099,直播,女装,女装-005,1,269,268.04,否
SO202500903,2026-06-28,11666,推荐,男装,男装-014,3,149,415.12,否
SO202500252,2026-06-28,10614,推荐,家居,家居-001,2,39,76.94,否
SO202502706,2026-06-28,11023,推荐,美妆,美妆-007,1,159,144.02,否
SO202503008,2026-06-28,10550,搜索,美妆,美妆-001,3,129,352.73,否
SO202500794,2026-06-28,10659,搜索,美妆,美妆-007,1,159,156.55,否
SO202504194,2026-06-28,10008,推荐,女装,女装-032,1,309,287.08,否
SO202504984,2026-06-28,10731,直播,女装,女装-001,1,169,149.56,否
SO202502374,2026-06-28,10902,搜索,男装,男装-014,1,149,145.55,否
SO202500654,2026-06-28,10402,搜索,家居,家居-006,3,109,293.4,否
SO202500379,2026-06-28,11899,搜索,男装,男装-007,1,129,124.33,否
SO202503794,2026-06-28,10076,搜索,女装,女装-005,1,269,243.87,否
SO202504563,2026-06-28,11956,搜索,女装,女装-022,2,269,477.4,否
SO202503573,2026-06-28,10976,社群,男装,男装-006,1,199,192.75,否
SO202502547,2026-06-28,11292,推荐,美妆,美妆-015,1,199,197.92,否
SO202503015,2026-06-28,11702,搜索,数码,数码-008,3,1259,3695.45,否
SO202503783,2026-06-28,11573,搜索,女装,女装-001,3,169,455.19,否
SO202501708,2026-06-28,11715,直播,美妆,美妆-002,1,369,316.44,否
SO202503768,2026-06-28,10820,社群,男装,男装-020,1,299,275.99,否
SO202500845,2026-06-28,10766,搜索,男装,男装-019,2,189,345.65,否
SO202504931,2026-06-28,11232,直播,家居,家居-012,1,169,158.41,否
SO202502312,2026-06-28,10386,直播,女装,女装-022,3,269,720.55,否
SO202500145,2026-06-28,10991,直播,女装,女装-005,1,269,250.08,否
SO202500993,2026-06-29,10627,搜索,女装,女装-005,1,269,251.45,否
SO202503810,2026-06-29,11853,推荐,男装,男装-006,1,199,171.54,否
SO202502284,2026-06-29,10037,直播,女装,女装-014,2,259,470.87,否
SO202500321,2026-06-29,11796,推荐,美妆,美妆-005,3,369,969.43,否
SO202500614,2026-06-29,10981,直播,男装,男装-009,1,169,155.41,否
SO202501600,2026-06-29,11234,直播,男装,男装-020,1,299,257.62,否
SO202500584,2026-06-29,10250,搜索,家居,家居-009,2,199,385.96,否
SO202503644,2026-06-29,11192,推荐,男装,男装-025,2,169,331.66,否
SO202500660,2026-06-29,10920,搜索,女装,女装-001,1,169,166.07,是
SO202502217,2026-06-29,11365,搜索,家居,家居-004,3,59,170.19,否
SO202501161,2026-06-29,11738,直播,男装,男装-007,2,129,225.9,否
SO202500351,2026-06-29,11891,搜索,女装,女装-021,2,269,488.23,否
SO202504421,2026-06-29,11361,搜索,家居,家居-011,1,119,111.91,否
SO202504887,2026-06-29,11280,直播,女装,女装-032,2,309,590.97,否
SO202503286,2026-06-29,10336,社群,女装,女装-031,1,189,178.81,否
SO202504571,2026-06-30,10796,搜索,女装,女装-032,1,309,274.86,否
SO202501735,2026-06-30,10076,推荐,女装,女装-014,2,259,480.69,否
SO202500561,2026-06-30,10680,直播,美妆,美妆-001,2,129,250.07,否
SO202504359,2026-06-30,10976,推荐,男装,男装-015,2,149,292.33,否
SO202501195,2026-06-30,11929,社群,女装,女装-032,1,309,262.92,否
SO202504880,2026-06-30,10525,搜索,美妆,美妆-011,1,129,110.7,否
SO202500715,2026-06-30,11052,直播,美妆,美妆-001,3,129,383.31,否
SO202503472,2026-06-30,11003,推荐,女装,女装-021,1,269,239.61,是
SO202502912,2026-06-30,10590,直播,女装,女装-014,2,259,487.44,否
SO202502745,2026-06-30,10213,直播,家居,家居-011,3,119,342.04,否
SO202501884,2026-06-30,10639,社群,女装,女装-032,1,309,295.83,否
SO202503707,2026-06-30,10082,推荐,美妆,美妆-015,2,199,348.85,否
SO202502160,2026-06-30,11388,社群,美妆,美妆-001,1,129,119.94,否
SO202502511,2026-06-30,10809,直播,女装,女装-011,3,159,435.72,是
SO202500324,2026-06-30,11241,直播,美妆,美妆-003,2,119,233.52,否
SO202503277,2026-07-01,10007,直播,美妆,美妆-017,1,359,310.06,否
SO202500924,2026-07-01,11734,搜索,男装,男装-019,1,189,179.72,否
SO202504436,2026-07-01,10293,直播,女装,女装-032,1,309,289.81,否
SO202500708,2026-07-01,11409,搜索,女装,女装-005,2,269,536.1,否
SO202502225,2026-07-01,11401,直播,男装,男装-006,1,199,185.79,否
SO202504937,2026-07-01,10542,直播,美妆,美妆-014,2,239,420.87,否
SO202504336,2026-07-01,10527,直播,美妆,美妆-014,3,239,632.92,否
SO202504951,2026-07-01,11078,直播,男装,男装-025,2,169,288.67,否
SO202504004,2026-07-01,10346,社群,男装,男装-014,1,149,138.06,否
SO202501817,2026-07-01,11347,搜索,男装,男装-006,2,199,377.18,是
SO202503894,2026-07-01,10979,推荐,美妆,美妆-015,1,199,183.62,否
SO202503179,2026-07-02,10682,搜索,男装,男装-005,2,269,494.59,否
SO202502214,2026-07-02,11661,搜索,女装,女装-032,1,309,288.65,否
SO202504305,2026-07-02,10700,搜索,女装,女装-005,3,269,692.5,否
SO202503636,2026-07-02,10067,直播,男装,男装-020,3,299,886.23,否
SO202502579,2026-07-02,11107,推荐,男装,男装-006,1,199,195.23,是
SO202500475,2026-07-02,11722,直播,女装,女装-017,2,149,257.48,否
SO202504370,2026-07-02,11269,搜索,女装,女装-032,2,309,536.42,否
SO202502772,2026-07-02,10286,社群,女装,女装-021,1,269,252.19,否
SO202502729,2026-07-02,11579,直播,美妆,美妆-010,1,389,346.09,否
SO202504652,2026-07-02,10405,直播,女装,女装-032,2,309,581.16,否
SO202503908,2026-07-02,11650,推荐,美妆,美妆-003,3,119,309.57,是
SO202503818,2026-07-02,10071,社群,美妆,美妆-005,3,369,1079.1,否
SO202500138,2026-07-02,11509,社群,女装,女装-014,1,259,246.95,否
SO202504837,2026-07-02,11361,社群,男装,男装-006,1,199,187.85,否
SO202500400,2026-07-02,10736,搜索,女装,女装-027,1,149,142.56,否
SO202502858,2026-07-02,10868,社群,男装,男装-006,3,199,535.74,否
SO202503608,2026-07-02,11213,直播,女装,女装-014,1,259,253.08,否
SO202501864,2026-07-02,10621,搜索,女装,女装-005,1,269,257.25,否
SO202500937,2026-07-03,10150,推荐,女装,女装-027,2,149,258.19,否
SO202504992,2026-07-03,11860,直播,美妆,美妆-015,1,199,183.15,否
SO202504790,2026-07-03,11409,直播,美妆,美妆-001,1,129,128.28,否
SO202502580,2026-07-03,10034,搜索,美妆,美妆-003,3,119,307.79,否
SO202504357,2026-07-03,11732,搜索,女装,女装-013,1,249,239.69,否
SO202503525,2026-07-03,10447,搜索,男装,男装-004,3,299,793.34,否
SO202501134,2026-07-03,10402,社群,家居,家居-005,2,59,102.08,否
SO202502529,2026-07-03,10475,直播,女装,女装-032,1,309,275.68,否
SO202502680,2026-07-03,10677,搜索,男装,男装-006,1,199,195.06,否
SO202501345,2026-07-03,11995,直播,女装,女装-021,2,269,523.15,否
SO202501701,2026-07-03,11299,社群,女装,女装-032,3,309,798.5,是
SO202502295,2026-07-03,11388,直播,美妆,美妆-014,2,239,434.43,否
SO202503678,2026-07-03,11011,社群,美妆,美妆-001,1,129,115.21,否
SO202501773,2026-07-04,11505,直播,美妆,美妆-007,1,159,149.98,否
SO202501069,2026-07-04,10002,社群,女装,女装-012,2,239,408.87,否
SO202504000,2026-07-04,10497,推荐,男装,男装-020,1,299,281.56,否
SO202502806,2026-07-04,11106,搜索,数码,数码-010,1,2029,1966.28,否
SO202503488,2026-07-04,10475,社群,女装,女装-011,2,159,309.45,否
SO202501704,2026-07-04,11613,搜索,家居,家居-014,1,59,51.26,否
SO202502640,2026-07-04,10895,推荐,女装,女装-005,1,269,260.6,否
SO202504582,2026-07-04,10795,直播,美妆,美妆-011,1,129,121.99,是
SO202500483,2026-07-04,11134,推荐,数码,数码-008,1,1259,1232.29,否
SO202502872,2026-07-04,10367,直播,男装,男装-014,1,149,142.35,否
SO202501554,2026-07-04,11562,搜索,女装,女装-001,2,169,327.51,否
SO202504690,2026-07-04,10323,社群,男装,男装-025,2,169,316.02,否
SO202504915,2026-07-04,10760,搜索,男装,男装-005,1,269,256.16,否
SO202503938,2026-07-04,11365,推荐,美妆,美妆-001,1,129,128.23,是
SO202502505,2026-07-04,10067,推荐,女装,女装-032,3,309,797.48,否
SO202503381,2026-07-04,11976,推荐,女装,女装-001,2,169,291.81,是
SO202500779,2026-07-04,10012,直播,女装,女装-025,2,159,278.02,否
SO202501956,2026-07-04,10796,推荐,美妆,美妆-017,1,359,309.98,否
SO202503426,2026-07-05,11659,直播,家居,家居-011,1,119,111.77,否
SO202501681,2026-07-05,10442,直播,女装,女装-032,1,309,283.99,否
SO202500877,2026-07-05,10816,搜索,数码,数码-007,2,1359,2686.86,否
SO202504170,2026-07-05,11503,直播,男装,男装-006,2,199,340.01,否
SO202503633,2026-07-05,11843,直播,美妆,美妆-014,3,239,610.88,否
SO202500582,2026-07-05,10638,推荐,男装,男装-005,1,269,237.3,否
SO202503378,2026-07-05,11679,社群,男装,男装-008,2,299,587.28,否
SO202504884,2026-07-05,11515,直播,美妆,美妆-011,2,129,253.89,否
SO202502075,2026-07-05,11635,搜索,美妆,美妆-015,2,199,380.39,否
SO202501094,2026-07-05,11221,推荐,女装,女装-005,1,269,260.9,否
SO202500426,2026-07-05,11995,搜索,美妆,美妆-001,2,129,223.68,否
SO202504669,2026-07-05,11365,社群,男装,男装-006,3,199,571.23,否
SO202503839,2026-07-05,11388,搜索,女装,女装-001,2,169,328.03,否
SO202501596,2026-07-05,10766,直播,女装,女装-030,1,109,105.81,否
SO202500209,2026-07-05,11106,推荐,美妆,美妆-017,1,359,335.13,否
SO202501896,2026-07-05,11933,社群,女装,女装-001,1,169,168.67,否
SO202500955,2026-07-05,10932,推荐,家居,家居-005,1,59,54.04,否
SO202500525,2026-07-05,10186,搜索,数码,数码-009,1,1399,1338.52,否
SO202504900,2026-07-05,11023,直播,男装,男装-005,1,269,260.0,否
SO202504042,2026-07-05,10731,社群,男装,男装-006,1,199,195.67,否
SO202504027,2026-07-06,11221,推荐,美妆,美妆-014,2,239,416.91,否
SO202502473,2026-07-06,11966,推荐,男装,男装-018,1,159,151.8,否
SO202502155,2026-07-06,10757,直播,美妆,美妆-018,2,489,965.54,否
SO202504756,2026-07-06,10405,直播,美妆,美妆-017,1,359,305.19,否
SO202503700,2026-07-06,10144,推荐,家居,家居-007,1,199,198.72,否
SO202503069,2026-07-06,10368,直播,家居,家居-004,2,59,113.55,否
SO202500223,2026-07-06,10067,搜索,男装,男装-020,3,299,818.21,否
SO202503505,2026-07-06,11956,推荐,家居,家居-004,3,59,162.11,否
SO202504137,2026-07-06,10733,直播,美妆,美妆-007,2,159,312.78,否
SO202500282,2026-07-06,11051,社群,家居,家居-004,1,59,52.59,否
SO202500275,2026-07-06,10323,搜索,美妆,美妆-002,1,369,325.25,否
SO202502082,2026-07-06,10557,直播,家居,家居-011,3,119,329.73,否
SO202501769,2026-07-06,10611,推荐,美妆,美妆-015,1,199,185.12,否
SO202501743,2026-07-06,10760,搜索,女装,女装-035,2,289,498.43,否
SO202500692,2026-07-06,10799,直播,美妆,美妆-007,3,159,424.12,否
SO202504803,2026-07-06,10267,搜索,美妆,美妆-001,1,129,118.08,否
SO202504767,2026-07-07,10497,搜索,男装,男装-006,2,199,389.5,否
SO202502056,2026-07-07,10842,搜索,数码,数码-001,1,2439,2271.38,否
SO202503160,2026-07-07,11118,搜索,男装,男装-008,1,299,257.69,否
SO202500280,2026-07-07,10213,直播,女装,女装-022,1,269,258.67,否
SO202502860,2026-07-07,11015,直播,男装,男装-019,2,189,330.88,否
SO202502136,2026-07-07,11471,搜索,美妆,美妆-007,2,159,292.51,否
SO202500812,2026-07-07,11783,推荐,家居,家居-015,1,179,174.45,是
SO202501501,2026-07-07,11503,直播,家居,家居-001,1,39,35.81,否
SO202502112,2026-07-07,11042,直播,男装,男装-006,3,199,563.19,否
SO202501446,2026-07-07,11264,搜索,女装,女装-022,3,269,769.51,否
SO202500024,2026-07-08,11387,搜索,男装,男装-006,1,199,188.69,否
SO202503524,2026-07-08,10697,直播,女装,女装-025,2,159,276.33,否
SO202500453,2026-07-08,11388,直播,男装,男装-025,1,169,164.32,否
SO202501616,2026-07-08,11076,搜索,美妆,美妆-003,2,119,230.79,否
SO202500450,2026-07-08,11221,直播,家居,家居-004,1,59,58.13,否
SO202504686,2026-07-08,10112,直播,美妆,美妆-010,3,389,1082.3,是
SO202503743,2026-07-08,11355,推荐,美妆,美妆-016,2,279,477.86,否
SO202502876,2026-07-08,10476,直播,女装,女装-022,1,269,240.29,否
SO202502774,2026-07-08,10248,直播,美妆,美妆-003,3,119,318.25,否
SO202502582,2026-07-08,10680,直播,女装,女装-032,1,309,279.67,否
SO202504068,2026-07-08,11686,直播,美妆,美妆-007,1,159,158.84,否
SO202504403,2026-07-08,11882,社群,男装,男装-020,3,299,844.07,否
SO202504169,2026-07-09,11873,直播,美妆,美妆-018,2,489,943.22,否
SO202502854,2026-07-09,11803,直播,女装,女装-015,1,119,117.74,否
SO202500293,2026-07-09,10716,社群,女装,女装-030,1,109,95.13,否
SO202501322,2026-07-09,10501,直播,美妆,美妆-005,1,369,351.43,否
SO202503973,2026-07-09,11259,搜索,家居,家居-007,1,199,193.6,否
SO202500549,2026-07-09,11432,社群,女装,女装-026,1,209,186.21,否
SO202504467,2026-07-09,11912,直播,女装,女装-032,3,309,869.95,否
SO202500856,2026-07-09,10752,搜索,男装,男装-001,2,329,630.54,否
SO202503491,2026-07-09,11686,直播,数码,数码-009,2,1399,2741.64,否
SO202500001,2026-07-09,11906,直播,男装,男装-006,1,199,176.35,否
SO202504291,2026-07-09,10163,直播,女装,女装-021,3,269,798.1,否
SO202502266,2026-07-09,11593,社群,男装,男装-004,2,299,544.36,否
SO202503291,2026-07-09,11505,推荐,男装,男装-006,2,199,338.83,否
SO202501581,2026-07-10,10460,直播,女装,女装-035,3,289,786.07,否
SO202500440,2026-07-10,11635,搜索,女装,女装-017,1,149,133.46,否
SO202501485,2026-07-10,11842,直播,家居,家居-004,1,59,58.08,否
SO202502122,2026-07-10,10788,直播,家居,家居-007,1,199,173.62,是
SO202500773,2026-07-10,11089,推荐,数码,数码-006,1,1899,1761.49,否
SO202501794,2026-07-10,11147,推荐,美妆,美妆-011,1,129,110.37,否
SO202502884,2026-07-10,11363,搜索,家居,家居-005,1,59,58.3,否
SO202503612,2026-07-10,10592,搜索,男装,男装-021,3,349,1020.7,否
SO202500192,2026-07-10,11581,直播,男装,男装-025,2,169,298.73,否
SO202502661,2026-07-10,10747,搜索,家居,家居-010,1,179,174.83,否
SO202500423,2026-07-10,10663,社群,女装,女装-014,3,259,750.23,否
SO202504948,2026-07-10,11070,直播,女装,女装-032,3,309,848.28,否
SO202504043,2026-07-11,11666,推荐,女装,女装-005,3,269,752.87,否
SO202504081,2026-07-11,11635,直播,男装,男装-020,1,299,291.47,否
SO202500295,2026-07-11,11299,搜索,男装,男装-004,3,299,821.62,否
SO202503584,2026-07-11,11131,直播,女装,女装-032,3,309,830.03,否
SO202500865,2026-07-11,11076,社群,美妆,美妆-004,3,289,782.46,否
SO202502551,2026-07-11,10527,推荐,家居,家居-011,2,119,223.33,否
SO202503482,2026-07-11,10890,直播,美妆,美妆-007,3,159,406.83,是
SO202504408,2026-07-11,11529,推荐,美妆,美妆-001,3,129,369.91,否
SO202501860,2026-07-11,10007,搜索,男装,男装-020,1,299,264.34,否
SO202500888,2026-07-11,10402,直播,女装,女装-003,1,189,173.96,否
SO202500066,2026-07-11,10172,搜索,美妆,美妆-007,1,159,148.45,否
SO202501122,2026-07-11,11121,直播,女装,女装-003,2,189,365.96,否
SO202503705,2026-07-11,11482,搜索,女装,女装-014,3,259,698.03,否
SO202500667,2026-07-11,11189,搜索,女装,女装-021,3,269,774.64,是
SO202500581,2026-07-11,11732,直播,美妆,美妆-007,2,159,310.17,否
SO202501336,2026-07-12,10114,直播,女装,女装-023,2,169,295.75,否
SO202503042,2026-07-12,10475,直播,男装,男装-001,2,329,619.04,否
SO202503676,2026-07-12,11096,社群,女装,女装-035,2,289,539.81,否
SO202501874,2026-07-12,10037,搜索,男装,男装-005,1,269,254.61,否
SO202502842,2026-07-12,10837,搜索,男装,男装-022,2,229,406.1,否
